split,name,pred_foreground_ratio,pred_component_count,pred_profile_count,pred_profile_total_length,pred_cd_mean,pred_cd_std,pred_lwr_3sigma,pred_ler_low_3sigma,pred_ler_high_3sigma,pred_ler_mean_3sigma,pred_edge_psd_hf_ratio_1d,pred_necking_score,pred_bulging_score,disagreement,fg_dev,cc_dev,label
in_dist,00000764,0.32786179,4.0,4.0,2048.0,41.966309,0.92855397,2.7856619,1.9852107,2.0545095,2.0198601,0.044024258,0.070737156,0.077642657,0.0075549422833546265,0.0005645799999999812,0.0,False
in_dist,00000769,0.6407547,14.0,14.0,6129.0,27.405776,0.86713124,2.6013937,1.8665457,1.5408016,1.7036737,0.053920351,0.77588047,0.56334232,0.02076162110521962,0.004997250000000064,2.0,True
in_dist,00000770,0.57645416,8.0,8.0,4096.0,36.893066,0.8739228,2.6217684,1.9925754,1.8231429,1.9078591,0.035504874,0.085096107,0.13555121,0.006297322412257889,0.0006027200000000565,0.0,False
in_dist,00000776,0.44475555,8.0,8.0,2840.0,41.053169,2.1968785,6.5906355,6.8408355,8.0371425,7.438989,0.024100058,0.97400692,0.42533937,0.00898465514301272,0.0005683899999999742,0.0,False
in_dist,00000777,0.5788765,8.0,8.0,4096.0,37.048096,0.85372145,2.5611644,1.9945015,1.7392907,1.8668961,0.040472715,0.074141049,0.11103074,0.006244621310437792,0.0005912799999999718,0.0,False
in_dist,00000783,0.40238571,5.0,5.0,2545.0,41.447151,1.4089919,4.2269757,2.4815729,2.6525043,2.5670386,0.046575361,0.85359387,0.078550698,0.006809573932910595,0.00010681000000001273,0.0,False
in_dist,00000785,0.16693115,2.0,2.0,1024.0,42.730469,1.0615691,3.1847072,2.2566306,2.0905531,2.1735919,0.041784293,0.066842849,0.079921133,0.0066286903405115005,0.0004234300000000024,0.0,False
in_dist,00000787,0.43090057,7.0,7.0,2782.0,40.603163,2.3367194,7.0101583,5.7528366,5.6397378,5.6962872,0.024349683,0.85437998,0.3105802,0.007355037284964339,0.00046156999999996673,0.0,False
in_dist,00000819,0.40533066,5.0,5.0,2560.0,41.505859,0.90589638,2.7176892,1.9315319,1.8628922,1.897212,0.046415769,0.077127407,0.059144335,0.006143287826346211,0.0006484999999999963,0.0,False
in_dist,00000823,0.75939941,2.0,2.0,1024.0,195.97363,12.128925,36.386776,19.394764,11.828347,15.611556,0.0097211646,0.47711025,0.31859154,0.3342139524360911,0.20557784999999995,1.0,True
